state,district,population,households,literacy_rate,sc_st_share,dilapidated_housing_rate,no_latrine_rate,no_bathing_facility_rate,low_income_household_rate,rural_household_share,seismic_exposure,landslide_exposure,flood_exposure,cyclone_exposure,urgency_score,predicted_urgency
West Bengal,Maldah,3988845.0,958996.0,0.5230667022659442,0.28815709810734685,0.09561979403459452,0.5816197356401903,0.6915628428064351,0.0009864483272088726,0.865820086840821,0.6,0.55,0.85,0.9,0.5491047422491606,0.5404432052054686
West Bengal,Birbhum,3502404.0,965609.0,0.6162758493880204,0.36421383712444366,0.12501644040186038,0.6331962523133069,0.6483752740498483,0.0008191721493896598,0.8606423510965618,0.6,0.55,0.85,0.9,0.548931630802966,0.5395318544211806
West Bengal,Uttar Dinajpur,3007134.0,778250.0,0.49537765859452887,0.32282099833263167,0.09717956954706071,0.548041117892708,0.5385801477674269,0.0009123032444587214,0.8788705428846771,0.6,0.55,0.85,0.9,0.5522958758157714,0.5387830652155642
West Bengal,Puruliya,2930115.0,752652.0,0.554553319579607,0.37828515263052814,0.055471851532979385,0.659674059193359,0.6683341039417952,0.0008503265785515749,0.8678898083045019,0.6,0.55,0.85,0.9,0.5543400786687365,0.5386327134357048
West Bengal,Dakshin Dinajpur,1676276.0,461026.0,0.6464836339600399,0.45226442423562707,0.09908117980330827,0.5275494223753108,0.6712397999245162,0.0009305332020319895,0.8479977268093339,0.6,0.55,0.85,0.9,0.5389621232385123,0.5383512560557859
West Bengal,Bankura,3596674.0,991400.0,0.6208491511880143,0.429045557089689,0.08752773855154328,0.6021182166633045,0.6257696187210006,0.0008250958240871495,0.9083266088359895,0.6,0.55,0.85,0.9,0.5465197696306343,0.536816722234734
West Bengal,Murshidabad,7103807.0,1851965.0,0.5709380899565543,0.1391604529796488,0.13535784963538727,0.49471453294203727,0.633778176153437,0.0008882457281860079,0.8105261168542602,0.6,0.55,0.85,0.9,0.5283331594506122,0.5289143142729251
West Bengal,Jalpaiguri,3872846.0,1117804.0,0.645205102397565,0.5654709740588704,0.11144350887991097,0.3758136489044591,0.4999633209399859,0.0007720494827357927,0.7142379164862535,0.6,0.55,0.85,0.9,0.5342218594659804,0.5247339607273039
West Bengal,Paschim Medinipur,5913457.0,1565383.0,0.6896832089926417,0.3396125143042386,0.1014972054762317,0.42151026298356375,0.6457582585220358,0.0008438829347194904,0.8715662556703375,0.6,0.55,0.85,0.9,0.5161942457610046,0.516725821178878
West Bengal,Koch Bihar,2819086.0,900738.0,0.6564198467162762,0.5081295852627412,0.09049246284713201,0.2930885562727452,0.5057219746474557,0.0007715895188167924,0.8919430511425076,0.6,0.55,0.85,0.9,0.5195064417118468,0.5164791065370371
